TIME,SOFT_XRAY,HARD_XRAY
650,118.0,0.0
651,114.0,0.0
652,114.0,0.0
653,127.0,178.0
654,127.0,0.0
655,114.0,0.0
656,128.0,0.0
657,132.0,0.0
658,118.0,0.0
659,121.0,0.0
660,119.0,0.0
661,136.0,154.0
662,114.0,0.0
663,140.0,0.0
664,109.0,0.0
665,125.0,0.0
666,145.0,0.0
667,117.0,0.0
668,130.0,0.0
669,100.0,26.0
670,127.0,0.0
671,129.0,0.0
672,120.0,147.0
673,130.0,0.0
674,124.0,0.0
675,109.0,145.0
676,135.0,0.0
677,128.0,100.0
678,130.0,0.0
679,117.0,0.0
680,114.0,0.0
681,127.0,0.0
682,123.0,178.0
683,140.0,0.0
684,125.0,0.0
685,131.0,0.0
686,99.0,0.0
687,116.0,0.0
688,123.0,0.0
689,122.0,0.0
690,125.0,96.0
691,126.0,113.0
692,133.0,0.0
693,140.0,0.0
694,114.0,0.0
695,115.0,0.0
696,151.0,0.0
697,139.0,81.0
698,100.0,172.0
699,131.0,0.0
700,125.0,0.0
701,121.0,0.0
702,110.0,0.0
703,133.0,0.0
704,128.0,0.0
705,118.0,0.0
706,105.0,212.0
707,133.0,0.0
708,128.0,0.0
709,110.0,0.0
710,105.0,0.0
711,131.0,0.0
712,132.0,0.0
713,124.0,0.0
714,126.0,161.0
715,133.0,0.0
716,121.0,0.0
717,121.0,0.0
718,122.0,0.0
719,111.0,0.0
720,120.0,0.0
721,138.0,0.0
722,118.0,173.0
723,117.0,0.0
724,122.0,0.0
725,125.0,0.0
726,128.0,0.0
727,126.0,0.0
728,126.0,0.0
729,114.0,0.0
730,130.0,236.0
731,104.0,0.0
732,109.0,0.0
733,125.0,0.0
734,135.0,0.0
735,116.0,0.0
736,112.0,0.0
737,111.0,0.0
738,114.0,71.0
739,128.0,130.0
740,108.0,0.0
741,116.0,0.0
742,117.0,0.0
743,135.0,0.0
744,128.0,134.0
745,121.0,93.0
746,121.0,0.0
747,114.0,0.0
748,122.0,0.0
749,137.0,0.0
750,106.0,0.0
751,130.0,0.0
752,113.0,209.0
753,130.0,0.0
754,143.0,0.0
755,117.0,0.0
756,140.0,0.0
757,113.0,0.0
758,130.0,0.0
759,124.0,0.0
760,97.0,130.0
761,113.0,0.0
762,118.0,0.0
763,116.0,0.0
764,136.0,0.0
765,144.0,0.0
766,104.0,0.0
767,98.0,0.0
768,113.0,220.0
769,115.0,0.0
770,126.0,0.0
771,114.0,0.0
772,107.0,0.0
773,128.0,0.0
774,128.0,0.0
775,111.0,0.0
776,122.0,116.0
777,115.0,138.0
778,118.0,0.0
779,98.0,0.0
780,126.0,0.0
781,126.0,0.0
782,114.0,22.0
783,123.0,269.0
784,131.0,0.0
785,119.0,0.0
786,122.0,0.0
787,118.0,0.0
788,132.0,0.0
789,103.0,0.0
790,133.0,150.0
791,123.0,0.0
792,115.0,0.0
793,108.0,0.0
794,123.0,0.0
795,118.0,0.0
796,112.0,0.0
797,124.0,0.0
798,100.0,129.0
799,107.0,0.0
800,116.0,41.0
801,131.0,0.0
802,124.0,0.0
803,121.0,0.0
804,138.0,0.0
805,127.0,47.0
806,111.0,279.0
807,118.0,0.0
808,124.0,0.0
809,121.0,0.0
810,125.0,0.0
811,119.0,0.0
812,115.0,0.0
813,122.0,22.0
814,131.0,180.0
815,110.0,0.0
816,133.0,0.0
817,117.0,0.0
818,127.0,57.0
819,104.0,0.0
820,111.0,251.0
821,122.0,0.0
822,110.0,0.0
823,122.0,0.0
824,116.0,0.0
825,111.0,0.0
826,112.0,130.0
827,134.0,0.0
828,109.0,0.0
829,119.0,0.0
830,108.0,0.0
831,106.0,0.0
832,104.0,0.0
833,112.0,0.0
834,123.0,145.0
835,144.0,0.0
836,126.0,0.0
837,126.0,0.0
838,134.0,0.0
839,115.0,0.0
840,122.0,0.0
841,118.0,0.0
842,119.0,229.0
843,135.0,0.0
844,132.0,0.0
845,126.0,0.0
846,117.0,0.0
847,113.0,0.0
848,118.0,0.0
849,111.0,23.0
850,130.0,194.0
851,92.0,0.0
852,106.0,0.0
853,103.0,0.0
854,120.0,0.0
855,108.0,0.0
856,135.0,0.0
857,123.0,210.0
858,127.0,19.0
859,133.0,0.0
860,103.0,0.0
861,97.0,0.0
862,126.0,0.0
863,107.0,0.0
864,118.0,286.0
865,106.0,0.0
866,137.0,0.0
867,128.0,0.0
868,125.0,0.0
869,113.0,0.0
870,102.0,0.0
871,112.0,0.0
872,90.0,191.0
873,112.0,0.0
874,134.0,0.0
875,125.0,0.0
876,100.0,0.0
877,122.0,0.0
878,129.0,0.0
879,122.0,0.0
880,111.0,83.0
881,111.0,137.0
882,124.0,0.0
883,114.0,0.0
884,121.0,0.0
885,123.0,0.0
886,119.0,0.0
887,122.0,0.0
888,109.0,240.0
889,117.0,0.0
890,106.0,0.0
891,115.0,0.0
892,101.0,0.0
893,118.0,0.0
894,130.0,0.0
895,130.0,0.0
896,123.0,154.0
897,148.0,0.0
898,133.0,0.0
899,118.0,0.0
900,122.0,0.0
901,134.0,0.0
902,116.0,0.0
903,133.0,0.0
904,123.0,149.0
905,110.0,0.0
906,116.0,0.0
907,113.0,0.0
908,127.0,0.0
909,122.0,0.0
910,107.0,0.0
911,112.0,0.0
912,119.0,101.0
913,104.0,52.0
914,124.0,0.0
915,114.0,0.0
916,113.0,0.0
917,129.0,0.0
918,93.0,0.0
919,116.0,102.0
920,112.0,129.0
921,125.0,0.0
922,124.0,0.0
923,115.0,0.0
924,113.0,0.0
925,138.0,0.0
926,122.0,0.0
927,139.0,138.0
928,134.0,0.0
929,115.0,0.0
930,104.0,0.0
931,110.0,0.0
932,136.0,0.0
933,113.0,0.0
934,127.0,0.0
935,115.0,157.0
936,121.0,0.0
937,130.0,0.0
938,122.0,0.0
939,102.0,0.0
940,119.0,0.0
941,135.0,0.0
942,103.0,0.0
943,127.0,174.0
944,122.0,0.0
945,115.0,0.0
946,83.0,0.0
947,120.0,0.0
948,108.0,0.0
949,110.0,0.0
950,116.0,0.0
951,107.0,53.0
952,130.0,0.0
953,113.0,177.0
954,135.0,0.0
955,111.0,0.0
956,118.0,0.0
957,99.0,0.0
958,115.0,250.0
959,105.0,13.0
960,90.0,0.0
961,100.0,0.0
962,112.0,0.0
963,108.0,0.0
964,113.0,0.0
965,109.0,0.0
966,123.0,81.0
967,98.0,26.0
968,105.0,0.0
969,110.0,0.0
970,99.0,0.0
971,113.0,0.0
972,104.0,0.0
973,114.0,48.0
974,97.0,189.0
975,102.0,0.0
976,105.0,0.0
977,92.0,0.0
978,123.0,0.0
979,105.0,0.0
980,106.0,222.0
981,103.0,0.0
982,113.0,0.0
983,104.0,0.0
984,106.0,0.0
985,110.0,0.0
986,104.0,0.0
987,126.0,0.0
988,107.0,0.0
989,121.0,172.0
990,114.0,0.0
991,107.0,0.0
992,109.0,0.0
993,124.0,0.0
994,116.0,0.0
995,115.0,0.0
996,116.0,95.0
997,114.0,70.0
998,106.0,0.0
999,116.0,0.0
1000,121.0,0.0
1001,114.0,0.0
1002,116.0,0.0
1003,122.0,0.0
1004,122.0,0.0
1005,96.0,164.0
1006,99.0,0.0
1007,113.0,52.0
1008,104.0,0.0
1009,105.0,0.0
1010,102.0,26.0
1011,100.0,0.0
1012,101.0,280.0
1013,110.0,0.0
1014,89.0,0.0
1015,112.0,0.0
1016,111.0,124.0
1017,111.0,130.0
1018,107.0,0.0
1019,108.0,0.0
1020,123.0,0.0
1021,116.0,0.0
1022,120.0,0.0
1023,116.0,172.0
1024,100.0,0.0
1025,112.0,0.0
1026,98.0,0.0
1027,102.0,0.0
1028,110.0,0.0
1029,92.0,0.0
1030,101.0,0.0
1031,105.0,0.0
1032,107.0,143.0
1033,112.0,0.0
1034,104.0,0.0
1035,115.0,0.0
1036,126.0,0.0
1037,99.0,0.0
1038,107.0,0.0
1039,128.0,0.0
1040,108.0,106.0
1041,109.0,0.0
1042,121.0,95.0
1043,116.0,0.0
1044,100.0,0.0
1045,111.0,0.0
1046,106.0,0.0
1047,105.0,0.0
1048,121.0,224.0
1049,106.0,0.0
1050,110.0,0.0
1051,116.0,0.0
1052,107.0,0.0
1053,108.0,0.0
1054,109.0,34.0
1055,135.0,179.0
1056,117.0,0.0
1057,107.0,0.0
1058,99.0,0.0
1059,112.0,0.0
1060,109.0,0.0
1061,105.0,180.0
1062,114.0,0.0
1063,122.0,0.0
1064,110.0,0.0
1065,118.0,0.0
1066,104.0,0.0
1067,111.0,0.0
1068,112.0,0.0
1069,109.0,0.0
1070,118.0,122.0
1071,99.0,0.0
1072,106.0,0.0
1073,108.0,0.0
1074,110.0,0.0
1075,110.0,0.0
1076,104.0,0.0
1077,112.0,187.0
1078,113.0,0.0
1079,108.0,0.0
1080,101.0,0.0
1081,94.0,0.0
1082,124.0,0.0
1083,126.0,0.0
1084,96.0,0.0
1085,93.0,251.0
1086,97.0,0.0
1087,120.0,0.0
1088,111.0,0.0
1089,111.0,0.0
1090,95.0,0.0
1091,134.0,0.0
1092,119.0,0.0
1093,97.0,47.0
1094,114.0,113.0
1095,97.0,0.0
1096,96.0,0.0
1097,112.0,0.0
1098,129.0,0.0
1099,110.0,0.0
1100,122.0,0.0
1101,117.0,46.0
1102,99.0,173.0
1103,118.0,0.0
1104,101.0,0.0
1105,105.0,0.0
1106,105.0,0.0
1107,119.0,232.0
1108,111.0,21.0
1109,99.0,0.0
1110,103.0,0.0
1111,109.0,0.0
1112,96.0,0.0
1113,92.0,0.0
1114,98.0,0.0
1115,111.0,143.0
1116,108.0,0.0
1117,100.0,0.0
1118,93.0,0.0
1119,117.0,0.0
1120,122.0,0.0
1121,114.0,0.0
1122,115.0,0.0
1123,111.0,206.0
1124,124.0,0.0
1125,90.0,0.0
1126,95.0,0.0
1127,106.0,0.0
1128,110.0,0.0
1129,127.0,0.0
1130,106.0,0.0
1131,103.0,199.0
1132,104.0,0.0
1133,94.0,0.0
1134,120.0,0.0
1135,101.0,0.0
1136,118.0,0.0
1137,119.0,0.0
1138,98.0,155.0
1139,94.0,0.0
1140,103.0,0.0
1141,116.0,0.0
1142,126.0,0.0
1143,125.0,0.0
1144,110.0,0.0
1145,89.0,0.0
1146,112.0,0.0
1147,116.0,198.0
1148,116.0,0.0
1149,121.0,0.0
1150,81.0,0.0
1151,107.0,0.0
1152,116.0,0.0
1153,97.0,0.0
1154,125.0,0.0
1155,128.0,163.0
1156,113.0,0.0
1157,97.0,0.0
1158,101.0,0.0
1159,98.0,0.0
1160,116.0,0.0
1161,109.0,0.0
1162,113.0,0.0
1163,117.0,123.0
1164,107.0,55.0
1165,107.0,0.0
1166,87.0,0.0
1167,118.0,0.0
1168,95.0,0.0
1169,108.0,0.0
1170,114.0,0.0
1171,117.0,265.0
1172,110.0,0.0
1173,96.0,0.0
1174,126.0,0.0
1175,127.0,0.0
1176,102.0,0.0
1177,97.0,18.0
1178,97.0,214.0
1179,120.0,0.0
1180,105.0,0.0
1181,99.0,0.0
1182,88.0,0.0
1183,113.0,0.0
1184,124.0,0.0
1185,84.0,205.0
1186,109.0,0.0
1187,113.0,0.0
1188,122.0,0.0
1189,122.0,0.0
1190,127.0,0.0
1191,106.0,0.0
1192,91.0,0.0
1193,135.0,17.0
1194,106.0,167.0
1195,93.0,0.0
1196,96.0,0.0
1197,82.0,0.0
1198,93.0,0.0
1199,92.0,0.0
1200,109.0,255.0
1201,101.0,3.0
1202,114.0,0.0
1203,129.0,0.0
1204,122.0,0.0
1205,106.0,0.0
1206,97.0,0.0
1207,129.0,185.0
1208,110.0,0.0
1209,109.0,0.0
1210,101.0,0.0
1211,112.0,0.0
1212,95.0,0.0
1213,116.0,0.0
1214,110.0,0.0
1215,101.0,188.0
1216,102.0,0.0
1217,115.0,0.0
1218,102.0,0.0
1219,114.0,0.0
1220,102.0,0.0
1221,95.0,0.0
1222,89.0,0.0
1223,113.0,0.0
1224,108.0,201.0
1225,109.0,0.0
1226,103.0,0.0
1227,110.0,0.0
1228,113.0,0.0
1229,117.0,0.0
1230,110.0,0.0
1231,102.0,195.0
1232,98.0,0.0
1233,95.0,0.0
1234,122.0,0.0
1235,114.0,0.0
1236,95.0,0.0
1237,108.0,0.0
1238,118.0,0.0
1239,125.0,214.0
1240,101.0,0.0
1241,93.0,0.0
1242,117.0,0.0
1243,96.0,0.0
1244,93.0,0.0
1245,112.0,0.0
1246,97.0,0.0
1247,112.0,175.0
1248,104.0,0.0
1249,95.0,0.0
1250,116.0,0.0
1251,107.0,0.0
1252,111.0,0.0
1253,110.0,0.0
1254,126.0,0.0
1255,110.0,186.0
1256,101.0,0.0
1257,116.0,0.0
1258,111.0,0.0
1259,91.0,0.0
1260,101.0,0.0
1261,106.0,0.0
1262,116.0,234.0
1263,94.0,0.0
1264,110.0,0.0
1265,131.0,0.0
1266,116.0,0.0
1267,95.0,0.0
1268,105.0,0.0
1269,124.0,0.0
1270,136.0,167.0
1271,123.0,0.0
1272,94.0,0.0
1273,104.0,0.0
1274,100.0,0.0
1275,115.0,0.0
1276,96.0,0.0
1277,96.0,0.0
1278,106.0,193.0
1279,102.0,0.0
1280,105.0,0.0
1281,107.0,0.0
1282,116.0,0.0
1283,109.0,0.0
1284,110.0,0.0
1285,119.0,0.0
1286,120.0,26.0
1287,116.0,0.0
1288,118.0,150.0
1289,112.0,0.0
1290,115.0,0.0
1291,121.0,0.0
1292,107.0,0.0
1293,112.0,197.0
1294,92.0,65.0
1295,97.0,0.0
1296,122.0,0.0
1297,135.0,0.0
1298,101.0,0.0
1299,108.0,0.0
1300,111.0,41.0
1301,106.0,146.0
1302,109.0,0.0
1303,122.0,0.0
1304,92.0,0.0
1305,99.0,0.0
1306,115.0,0.0
1307,92.0,0.0
1308,103.0,0.0
1309,104.0,242.0
1310,105.0,0.0
1311,102.0,0.0
1312,109.0,0.0
1313,125.0,0.0
1314,104.0,0.0
1315,95.0,0.0
1316,118.0,192.0
1317,117.0,0.0
1318,111.0,0.0
1319,90.0,0.0
1320,84.0,0.0
1321,103.0,0.0
1322,122.0,0.0
1323,106.0,0.0
1324,96.0,0.0
1325,115.0,159.0
1326,107.0,0.0
1327,101.0,0.0
1328,117.0,0.0
1329,110.0,0.0
1330,119.0,0.0
1331,123.0,0.0
1332,106.0,0.0
1333,104.0,200.0
1334,103.0,0.0
1335,127.0,0.0
1336,117.0,0.0
1337,98.0,0.0
1338,103.0,0.0
1339,109.0,0.0
1340,103.0,173.0
1341,103.0,0.0
1342,91.0,0.0
1343,103.0,0.0
1344,112.0,0.0
1345,84.0,0.0
1346,133.0,0.0
1347,109.0,0.0
1348,122.0,0.0
1349,99.0,201.0
1350,88.0,0.0
1351,122.0,0.0
1352,121.0,0.0
1353,89.0,0.0
1354,110.0,0.0
1355,121.0,0.0
1356,108.0,235.0
1357,116.0,0.0
1358,95.0,0.0
