TIME,SOFT_XRAY,HARD_XRAY
25796,3.0,0.0
25797,3.0,0.0
25798,5.0,0.0
25799,3.0,15.0
25800,2.0,0.0
25801,4.0,0.0
25802,4.0,0.0
25803,4.0,0.0
25804,3.0,152.0
25805,4.0,0.0
25806,4.0,0.0
25807,6.0,0.0
25808,1.0,0.0
25809,7.0,0.0
25810,4.0,0.0
25811,5.0,116.0
25812,3.0,64.0
25813,4.0,0.0
25814,3.0,0.0
25815,8.0,0.0
25816,2.0,0.0
25817,5.0,0.0
25818,2.0,0.0
25819,3.0,0.0
25820,5.0,200.0
25821,7.0,0.0
25822,4.0,0.0
25823,5.0,0.0
25824,2.0,0.0
25825,4.0,0.0
25826,3.0,0.0
25827,2.0,0.0
25828,6.0,146.0
25829,7.0,0.0
25830,3.0,0.0
25831,2.0,0.0
25832,7.0,0.0
25833,3.0,0.0
25834,1.0,0.0
25835,8.0,0.0
25836,9.0,201.0
25837,2.0,0.0
25838,3.0,0.0
25839,7.0,0.0
25840,2.0,0.0
25841,4.0,0.0
25842,1.0,0.0
25843,5.0,0.0
25844,8.0,138.0
25845,5.0,0.0
25846,4.0,0.0
25847,2.0,0.0
25848,5.0,0.0
25849,6.0,0.0
25850,7.0,0.0
25851,6.0,177.0
25852,4.0,0.0
25853,4.0,0.0
25854,2.0,0.0
25855,4.0,0.0
25856,8.0,0.0
25857,3.0,0.0
25858,4.0,0.0
25859,4.0,0.0
25860,2.0,162.0
25861,7.0,0.0
25862,5.0,0.0
25863,4.0,0.0
25864,5.0,0.0
25865,1.0,0.0
25866,3.0,0.0
25867,5.0,0.0
25868,2.0,180.0
25869,4.0,0.0
25870,5.0,0.0
25871,4.0,0.0
25872,2.0,0.0
25873,5.0,0.0
25874,7.0,0.0
25875,5.0,0.0
25876,1.0,156.0
25877,8.0,0.0
25878,4.0,0.0
25879,5.0,0.0
25880,3.0,0.0
25881,5.0,0.0
25882,6.0,0.0
25883,4.0,0.0
25884,5.0,132.0
25885,6.0,47.0
25886,2.0,0.0
25887,6.0,0.0
25888,2.0,0.0
25889,3.0,0.0
25890,5.0,0.0
25891,2.0,92.0
25892,4.0,177.0
25893,7.0,0.0
25894,4.0,0.0
25895,3.0,0.0
25896,4.0,0.0
25897,4.0,0.0
25898,5.0,281.0
25899,3.0,0.0
25900,3.0,0.0
25901,2.0,0.0
25902,4.0,0.0
25903,2.0,0.0
25904,2.0,0.0
25905,8.0,0.0
25906,3.0,140.0
25907,4.0,61.0
25908,1.0,0.0
25909,5.0,0.0
25910,6.0,0.0
25911,1.0,0.0
25912,5.0,0.0
25913,5.0,35.0
25914,6.0,170.0
25915,3.0,0.0
25916,6.0,0.0
25917,6.0,0.0
25918,1.0,0.0
25919,3.0,0.0
25920,7.0,205.0
25921,3.0,0.0
25922,4.0,0.0
25923,5.0,0.0
25924,7.0,0.0
25925,6.0,0.0
25926,4.0,0.0
25927,4.0,0.0
25928,4.0,0.0
25929,3.0,234.0
25930,5.0,0.0
25931,5.0,0.0
25932,0.0,0.0
25933,4.0,0.0
25934,4.0,0.0
25935,6.0,0.0
25936,4.0,181.0
25937,5.0,0.0
25938,4.0,0.0
25939,4.0,0.0
25940,7.0,0.0
25941,2.0,0.0
25942,4.0,0.0
25943,4.0,0.0
25944,4.0,0.0
25945,4.0,162.0
25946,1.0,59.0
25947,4.0,0.0
25948,2.0,0.0
25949,3.0,0.0
25950,3.0,0.0
25951,2.0,0.0
25952,6.0,0.0
25953,7.0,242.0
25954,3.0,0.0
25955,7.0,0.0
25956,7.0,0.0
25957,3.0,0.0
25958,2.0,0.0
25959,7.0,0.0
25960,8.0,244.0
25961,4.0,0.0
25962,3.0,0.0
25963,1.0,0.0
25964,3.0,0.0
25965,8.0,0.0
25966,6.0,0.0
25967,4.0,31.0
25968,2.0,127.0
25969,1.0,0.0
25970,6.0,0.0
25971,2.0,0.0
25972,2.0,0.0
25973,1.0,0.0
25974,2.0,188.0
25975,1.0,23.0
25976,4.0,0.0
